Price,AGST,WinterRain,HarvestRain,Age,Year,FrancePop
7.495,17.1167,600,160,31,1952,43183.569
8.0393,16.7333,690,80,30,1953,43495.03
7.6858,17.15,502,130,28,1955,44217.857
6.9845,16.1333,420,110,26,1957,45152.252
6.7772,16.4167,582,187,25,1958,45653.805
8.0757,17.4833,485,187,24,1959,46128.638
6.5188,16.4167,763,290,23,1960,46583.995
8.4937,17.3333,830,38,22,1961,47128.005
7.388,16.3,697,52,21,1962,48088.673
6.7127,15.7167,608,155,20,1963,48798.99
7.3094,17.2667,402,96,19,1964,49356.943
6.2518,15.3667,602,267,18,1965,49801.821
7.7443,16.5333,819,86,17,1966,50254.966
6.8398,16.2333,714,118,16,1967,50650.406
6.2435,16.2,610,292,15,1968,51034.413
6.3459,16.55,575,244,14,1969,51470.276
7.5883,16.6667,622,89,13,1970,51918.389
7.1934,16.7667,551,112,12,1971,52431.647
6.2049,14.9833,536,158,11,1972,52894.183
6.6367,17.0667,376,123,10,1973,53332.805
6.2941,16.3,574,184,9,1974,53689.61
7.292,16.95,572,171,8,1975,53955.042
7.1211,17.65,418,247,7,1976,54159.049
6.2587,15.5833,821,87,6,1977,54378.362
7.186,15.8167,763,51,5,1978,54602.193
